annotation_id	instance_id	selected_region_record	review_mode	region_count	exact_entity_regions	fallback_regions	unmatched_regions	final_coverage	changed_regions	match_evidence
GT-044	django__django-14311	annotator_A	exclusive_protocol_review	1	1	0	0	covered	django/utils/autoreload.py::django.utils.autoreload.get_child_arguments	exact_entity:get_child_arguments
GT-045	matplotlib__matplotlib-22865	annotator_A	exclusive_protocol_review	1	1	0	0	covered	lib/matplotlib/colorbar.py::matplotlib.colorbar.Colorbar._add_solids	exact_entity:Colorbar._add_solids
GT-046	pallets__flask-5014	annotator_A	shared_evidence_adjudication	1	1	0	0	covered	src/flask/blueprints.py::flask.blueprints.Blueprint.init	exact_entity:Blueprint.__init__
GT-047	psf__requests-1724	annotator_A	shared_evidence_adjudication	2	1	1	0	covered	requests/sessions.py::模块级导入 | requests/sessions.py::requests.sessions.Session.request	explicit_file_fallback:requests/sessions.py | exact_entity:Session.request
GT-048	pydata__xarray-4695	annotator_B	exclusive_protocol_review	1	1	0	0	covered	xarray/core/dataarray.py::_LocIndexer.__getitem__	exact_entity:_LocIndexer.__getitem__
GT-049	pylint-dev__pylint-6386	annotator_B	exclusive_protocol_review	6	5	1	0	covered	pylint/config/utils.py::pylint.config.utils._enable_all_extensions(run, value) | pylint/config/argument.py::pylint.config.argument._CallableArgument.__init__(self) | pylint/config/arguments_manager.py::pylint.config.arguments_manager._ArgumentsManager._add_parser_option(section_group, argument) | pylint/config/utils.py::pylint.config.utils._convert_option_to_argument(opt, optdict) | pylint/config/utils.py::pylint.config.utils._preprocess_options(run, args) | pylint/lint/base_options.py::pylint.lint.base_options._make_run_options(self)	explicit_file_fallback:pylint/config/utils.py | exact_entity:_CallableArgument.__init__ | exact_entity:_ArgumentsManager._add_parser_option | exact_entity:_convert_option_to_argument | exact_entity:_preprocess_options | exact_entity:_make_run_options
GT-050	pytest-dev__pytest-5809	annotator_B	exclusive_protocol_review	1	1	0	0	covered	src/_pytest/pastebin.py::src._pytest.pastebin.create_new_paste(contents)	exact_entity:create_new_paste
GT-051	scikit-learn__scikit-learn-12973	annotator_A	shared_evidence_adjudication	1	1	0	0	covered	sklearn/linear_model/least_angle.py::sklearn.linear_model.least_angle.LassoLarsIC.fit	exact_entity:LassoLarsIC.fit
GT-052	sphinx-doc__sphinx-9658	annotator_B	exclusive_protocol_review	5	2	3	0	covered	sphinx/ext/autodoc/mock.py::sphinx.ext.autodoc.mock._MockObject.__display_name__ = _MockObject | sphinx/ext/autodoc/mock.py::sphinx.ext.autodoc.mock._MockObject.__init__(self) | sphinx/ext/autodoc/mock.py::sphinx.ext.autodoc.mock._make_subclass(name, module, superclass, attributes, decorator_args) | sphinx/ext/autodoc/mock.py::sphinx.ext.autodoc.mock.__new__(cls, *args, **kwargs) | sphinx/ext/autodoc/mock.py::sphinx.ext.autodoc.mock._MockObject	explicit_file_fallback:sphinx/ext/autodoc/mock.py | exact_entity:_MockObject.__init__ | exact_entity:_make_subclass | explicit_file_fallback:sphinx/ext/autodoc/mock.py | explicit_file_fallback:sphinx/ext/autodoc/mock.py
GT-053	sympy__sympy-22080	annotator_A	shared_evidence_adjudication	3	2	1	0	covered	sympy/printing/codeprinter.py::模块级导入 | sympy/printing/codeprinter.py::sympy.printing.codeprinter.CodePrinter._print_Mul | sympy/printing/precedence.py::sympy.printing.precedence.PRECEDENCE_VALUES	explicit_file_fallback:sympy/printing/codeprinter.py | exact_entity:CodePrinter._print_Mul | exact_entity:PRECEDENCE_VALUES
GT-054	astropy__astropy-14539	annotator_A	shared_evidence_adjudication	1	1	0	0	covered	astropy/io/fits/diff.py::astropy.io.fits.diff.TableDataDiff._diff	exact_entity:TableDataDiff._diff
GT-055	django__django-16082	annotator_A	exclusive_protocol_review	1	1	0	0	covered	django/db/models/expressions.py::django.db.models.expressions._connector_combinations	exact_entity:_connector_combinations
GT-056	matplotlib__matplotlib-25311	annotator_B	exclusive_protocol_review	2	1	1	0	covered	lib/matplotlib/offsetbox.py::matplotlib.offsetbox.DraggableBase.__init__(self, ref_artist, use_blit) | lib/matplotlib/offsetbox.py::matplotlib.offsetbox.on_motion(self, evt)	exact_entity:DraggableBase.__init__ | explicit_file_fallback:lib/matplotlib/offsetbox.py
GT-057	psf__requests-6028	annotator_B	exclusive_protocol_review	1	1	0	0	covered	requests/utils.py::requests.utils.prepend_scheme_if_needed(url, new_scheme)	exact_entity:prepend_scheme_if_needed
GT-058	pydata__xarray-4629	annotator_A	exclusive_protocol_review	1	1	0	0	covered	xarray/core/merge.py::xarray.core.merge.merge_attrs	exact_entity:merge_attrs
GT-059	pylint-dev__pylint-4970	annotator_A	exclusive_protocol_review	1	1	0	0	covered	pylint/checkers/similar.py::pylint.checkers.similar.Similar.run	exact_entity:Similar.run
GT-060	pytest-dev__pytest-7571	annotator_A	shared_evidence_adjudication	3	3	0	0	covered	src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.init | src/_pytest/logging.py::_pytest.logging.LogCaptureFixture._finalize | src/_pytest/logging.py::_pytest.logging.LogCaptureFixture.set_level	exact_entity:LogCaptureFixture.__init__ | exact_entity:LogCaptureFixture._finalize | exact_entity:LogCaptureFixture.set_level
